#  lambda(micron)  Flux(Jy)  F_Er(Jy)  F_Norm_Er(Jy)
  3.59600   0.63000   0.07000   0.07000 
  3.59667   0.65000   0.07000   0.07000 
  3.59733   0.67000   0.07000   0.07000 
  3.59800   0.68000   0.07000   0.07000 
  3.59867   0.69000   0.07000   0.07000 
  3.59933   0.68000   0.07000   0.07000 
  3.60000   0.67000   0.07000   0.07000 
  3.60067   0.65000   0.07000   0.07000 
  3.60133   0.62000   0.07000   0.07000 
  3.60200   0.60000   0.07000   0.07000 
  3.60267   0.57000   0.07000   0.07000 
  3.60333   0.55000   0.07000   0.07000 
  3.60400   0.53000   0.07000   0.07000 
  3.60467   0.51000   0.07000   0.07000 
  3.60533   0.49000   0.07000   0.07000 
  3.60600   0.48000   0.07000   0.07000 
  3.60667   0.47000   0.07000   0.07000 
  3.60733   0.47000   0.07000   0.07000 
  3.60800   0.47000   0.07000   0.07000 
  3.60867   0.48000   0.07000   0.07000 
  3.60933   0.49000   0.07000   0.07000 
  3.61000   0.50000   0.07000   0.07000 
  3.61067   0.51000   0.07000   0.07000 
  3.61133   0.53000   0.07000   0.07000 
  3.61200   0.55000   0.07000   0.07000 
  3.61267   0.56000   0.07000   0.07000 
  3.61333   0.58000   0.07000   0.07000 
  3.61400   0.59000   0.07000   0.07000 
  3.61467   0.60000   0.07000   0.07000 
  3.61533   0.60000   0.07000   0.07000 
  3.61600   0.61000   0.07000   0.07000 
  3.61667   0.61000   0.07000   0.07000 
  3.61733   0.60000   0.07000   0.07000 
  3.61800   0.60000   0.07000   0.07000 
  3.61867   0.59000   0.07000   0.07000 
  3.61933   0.57000   0.07000   0.07000 
  3.62000   0.56000   0.07000   0.07000 
  3.62067   0.54000   0.07000   0.07000 
  3.62133   0.52000   0.07000   0.07000 
  3.62200   0.50000   0.07000   0.07000 
  3.62267   0.49000   0.07000   0.07000 
  3.62333   0.48000   0.07000   0.07000 
  3.62400   0.47000   0.07000   0.07000 
  3.62467   0.47000   0.07000   0.07000 
  3.62533   0.47000   0.07000   0.07000 
  3.62600   0.47000   0.07000   0.07000 
  3.62667   0.48000   0.07000   0.07000 
  3.62733   0.50000   0.07000   0.07000 
  3.62800   0.51000   0.07000   0.07000 
  3.62867   0.52000   0.07000   0.07000 
  3.62933   0.53000   0.07000   0.07000 
  3.63000   0.53000   0.07000   0.07000 
  3.63067   0.53000   0.07000   0.07000 
  3.63133   0.53000   0.07000   0.07000 
  3.63200   0.52000   0.07000   0.07000 
  3.63267   0.51000   0.07000   0.07000 
  3.63333   0.50000   0.07000   0.07000 
  3.63400   0.49000   0.07000   0.07000 
  3.63467   0.49000   0.07000   0.07000 
  3.63533   0.49000   0.07000   0.07000 
  3.63600   0.49000   0.07000   0.07000 
  3.63667   0.50000   0.07000   0.07000 
  3.63733   0.51000   0.07000   0.07000 
  3.63800   0.52000   0.07000   0.07000 
  3.63867   0.53000   0.07000   0.07000 
  3.63933   0.53000   0.07000   0.07000 
  3.64000   0.53000   0.07000   0.07000 
  3.64067   0.53000   0.07000   0.07000 
  3.64133   0.52000   0.07000   0.07000 
  3.64200   0.51000   0.07000   0.07000 
  3.64267   0.50000   0.07000   0.07000 
  3.64333   0.49000   0.07000   0.07000 
  3.64400   0.48000   0.07000   0.07000 
  3.64467   0.48000   0.07000   0.07000 
  3.64533   0.48000   0.07000   0.07000 
  3.64600   0.49000   0.07000   0.07000 
  3.64667   0.51000   0.07000   0.07000 
  3.64733   0.53000   0.07000   0.07000 
  3.64800   0.56000   0.07000   0.07000 
  3.64867   0.58000   0.07000   0.07000 
  3.64933   0.61000   0.07000   0.07000 
  3.65000   0.63000   0.07000   0.07000 
  3.65067   0.64000   0.07000   0.07000 
  3.65133   0.65000   0.07000   0.07000 
  3.65200   0.66000   0.07000   0.07000 
  3.65267   0.66000   0.07000   0.07000 
  3.65333   0.67000   0.07000   0.07000 
  3.65400   0.66000   0.07000   0.07000 
  3.65467   0.66000   0.07000   0.07000 
  3.65533   0.65000   0.07000   0.07000 
  3.65600   0.65000   0.07000   0.07000 
  3.65667   0.64000   0.07000   0.07000 
  3.65733   0.64000   0.07000   0.07000 
  3.65800   0.63000   0.07000   0.07000 
  3.65867   0.62000   0.07000   0.07000 
  3.65933   0.61000   0.07000   0.07000 
  3.66000   0.60000   0.07000   0.07000 
  3.66067   0.59000   0.07000   0.07000 
  3.66133   0.58000   0.07000   0.07000 
  3.66200   0.56000   0.07000   0.07000 
  3.66267   0.55000   0.07000   0.07000 
  3.66333   0.54000   0.07000   0.07000 
  3.66400   0.53000   0.07000   0.07000 
  3.66467   0.53000   0.07000   0.07000 
  3.66533   0.54000   0.07000   0.07000 
  3.66600   0.54000   0.07000   0.07000 
  3.66667   0.56000   0.07000   0.07000 
  3.66733   0.58000   0.07000   0.07000 
  3.66800   0.60000   0.07000   0.07000 
  3.66867   0.63000   0.07000   0.07000 
  3.66933   0.66000   0.07000   0.07000 
  3.67000   0.68000   0.07000   0.07000 
  3.67067   0.70000   0.07000   0.07000 
  3.67133   0.72000   0.07000   0.07000 
  3.67200   0.72000   0.07000   0.07000 
  3.67267   0.72000   0.07000   0.07000 
  3.67333   0.71000   0.07000   0.07000 
  3.67400   0.69000   0.07000   0.07000 
  3.67467   0.67000   0.07000   0.07000 
  3.67533   0.65000   0.07000   0.07000 
  3.67600   0.63000   0.07000   0.07000 
  3.67667   0.61000   0.07000   0.07000 
  3.67733   0.59000   0.07000   0.07000 
  3.67800   0.57000   0.07000   0.07000 
  3.67867   0.57000   0.07000   0.07000 
  3.67933   0.57000   0.07000   0.07000 
  3.68000   0.59000   0.07000   0.07000 
  3.68067   0.61000   0.07000   0.07000 
  3.68133   0.65000   0.07000   0.07000 
  3.68200   0.69000   0.07000   0.07000 
  3.68267   0.72000   0.07000   0.07000 
  3.68333   0.75000   0.07000   0.07000 
  3.68400   0.77000   0.07000   0.07000 
  3.68467   0.79000   0.07000   0.07000 
  3.68533   0.79000   0.07000   0.07000 
  3.68600   0.78000   0.07000   0.07000 
  3.68667   0.76000   0.07000   0.07000 
  3.68733   0.75000   0.07000   0.07000 
  3.68800   0.73000   0.07000   0.07000 
  3.68867   0.71000   0.07000   0.07000 
  3.68933   0.70000   0.07000   0.07000 
  3.69000   0.69000   0.07000   0.07000 
  3.69067   0.69000   0.07000   0.07000 
  3.69133   0.69000   0.07000   0.07000 
  3.69200   0.70000   0.07000   0.07000 
  3.69267   0.71000   0.07000   0.07000 
  3.69333   0.71000   0.07000   0.07000 
  3.69400   0.72000   0.07000   0.07000 
  3.69467   0.73000   0.07000   0.07000 
  3.69533   0.73000   0.07000   0.07000 
  3.69600   0.73000   0.07000   0.07000 
  3.69667   0.74000   0.07000   0.07000 
  3.69733   0.74000   0.07000   0.07000 
  3.69800   0.74000   0.07000   0.07000 
  3.69867   0.75000   0.07000   0.07000 
  3.69933   0.75000   0.07000   0.07000 
  3.70000   0.75000   0.07000   0.07000 
  3.70067   0.76000   0.07000   0.07000 
  3.70133   0.76000   0.07000   0.07000 
  3.70200   0.76000   0.07000   0.07000 
  3.70267   0.76000   0.07000   0.07000 
  3.70333   0.76000   0.07000   0.07000 
  3.70400   0.75000   0.07000   0.07000 
  3.70467   0.74000   0.07000   0.07000 
  3.70533   0.72000   0.07000   0.07000 
  3.70600   0.71000   0.07000   0.07000 
  3.70667   0.69000   0.07000   0.07000 
  3.70733   0.67000   0.07000   0.07000 
  3.70800   0.66000   0.07000   0.07000 
  3.70867   0.64000   0.07000   0.07000 
  3.70933   0.63000   0.07000   0.07000 
  3.71000   0.63000   0.07000   0.07000 
  3.71067   0.63000   0.07000   0.07000 
  3.71133   0.63000   0.07000   0.07000 
  3.71200   0.63000   0.07000   0.07000 
  3.71267   0.64000   0.07000   0.07000 
  3.71333   0.64000   0.07000   0.07000 
  3.71400   0.65000   0.07000   0.07000 
  3.71467   0.65000   0.07000   0.07000 
  3.71533   0.65000   0.07000   0.07000 
  3.71600   0.64000   0.07000   0.07000 
  3.71667   0.63000   0.07000   0.07000 
  3.71733   0.62000   0.07000   0.07000 
  3.71800   0.60000   0.07000   0.07000 
  3.71867   0.58000   0.07000   0.07000 
  3.71933   0.55000   0.07000   0.07000 
  3.72000   0.53000   0.07000   0.07000 
  3.72067   0.51000   0.07000   0.07000 
  3.72133   0.49000   0.07000   0.07000 
  3.72200   0.48000   0.07000   0.07000 
  3.72267   0.48000   0.07000   0.07000 
  3.72333   0.48000   0.07000   0.07000 
  3.72400   0.49000   0.07000   0.07000 
  3.72467   0.50000   0.07000   0.07000 
  3.72533   0.51000   0.07000   0.07000 
  3.72600   0.53000   0.07000   0.07000 
  3.72667   0.56000   0.07000   0.07000 
  3.72733   0.58000   0.07000   0.07000 
  3.72800   0.61000   0.07000   0.07000 
  3.72867   0.64000   0.08000   0.08000 
  3.72933   0.67000   0.08000   0.08000 
  3.73000   0.69000   0.08000   0.08000 
  3.73067   0.72000   0.08000   0.08000 
  3.73133   0.74000   0.08000   0.08000 
  3.73200   0.76000   0.08000   0.08000 
  3.73267   0.78000   0.08000   0.08000 
  3.73333   0.80000   0.08000   0.08000 
  3.73400   0.82000   0.08000   0.08000 
  3.73467   0.84000   0.08000   0.08000 
  3.73533   0.86000   0.08000   0.08000 
  3.73600   0.87000   0.08000   0.08000 
  3.73667   0.89000   0.08000   0.08000 
  3.73733   0.91000   0.08000   0.08000 
  3.73800   0.92000   0.08000   0.08000 
  3.73867   0.93000   0.08000   0.08000 
  3.73933   0.94000   0.08000   0.08000 
  3.74000   0.94000   0.08000   0.08000 
  3.74067   0.94000   0.08000   0.08000 
  3.74133   0.93000   0.08000   0.08000 
  3.74200   0.91000   0.08000   0.08000 
  3.74267   0.89000   0.08000   0.08000 
  3.74333   0.87000   0.08000   0.08000 
  3.74400   0.84000   0.08000   0.08000 
  3.74467   0.81000   0.08000   0.08000 
  3.74533   0.78000   0.08000   0.08000 
  3.74600   0.76000   0.08000   0.08000 
  3.74667   0.73000   0.08000   0.08000 
  3.74733   0.71000   0.08000   0.08000 
  3.74800   0.69000   0.08000   0.08000 
  3.74867   0.68000   0.08000   0.08000 
  3.74933   0.66000   0.08000   0.08000 
  3.75000   0.65000   0.08000   0.08000 
  3.75067   0.63000   0.08000   0.08000 
  3.75133   0.62000   0.08000   0.08000 
  3.75200   0.61000   0.08000   0.08000 
  3.75267   0.59000   0.08000   0.08000 
  3.75333   0.57000   0.08000   0.08000 
  3.75400   0.55000   0.08000   0.08000 
  3.75467   0.53000   0.08000   0.08000 
  3.75533   0.51000   0.08000   0.08000 
  3.75600   0.49000   0.08000   0.08000 
  3.75667   0.47000   0.08000   0.08000 
  3.75733   0.45000   0.08000   0.08000 
  3.75800   0.45000   0.08000   0.08000 
  3.75867   0.45000   0.08000   0.08000 
  3.75933   0.45000   0.08000   0.08000 
  3.76000   0.46000   0.08000   0.08000 
  3.76067   0.48000   0.08000   0.08000 
  3.76133   0.50000   0.08000   0.08000 
  3.76200   0.52000   0.08000   0.08000 
  3.76267   0.53000   0.08000   0.08000 
  3.76333   0.55000   0.08000   0.08000 
  3.76400   0.56000   0.08000   0.08000 
  3.76467   0.57000   0.08000   0.08000 
  3.76533   0.57000   0.08000   0.08000 
  3.76600   0.58000   0.08000   0.08000 
  3.76667   0.58000   0.08000   0.08000 
  3.76733   0.59000   0.08000   0.08000 
  3.76800   0.60000   0.08000   0.08000 
  3.76867   0.61000   0.08000   0.08000 
  3.76933   0.63000   0.08000   0.08000 
  3.77000   0.66000   0.08000   0.08000 
  3.77067   0.68000   0.08000   0.08000 
  3.77133   0.71000   0.08000   0.08000 
  3.77200   0.74000   0.08000   0.08000 
  3.77267   0.77000   0.08000   0.08000 
  3.77333   0.79000   0.08000   0.08000 
  2.99100  -0.12000   0.26000   0.26000 
  2.99200  -0.17000   0.26000   0.26000 
  2.99300  -0.23000   0.26000   0.26000 
  2.99400  -0.29000   0.26000   0.26000 
  2.99500  -0.35000   0.26000   0.26000 
  2.99600  -0.41000   0.26000   0.26000 
  2.99700  -0.47000   0.26000   0.26000 
  2.99800  -0.51000   0.26000   0.26000 
  2.99900  -0.56000   0.26000   0.26000 
  3.00000  -0.59000   0.26000   0.26000 
  3.00100  -0.60000   0.26000   0.26000 
  3.00200  -0.60000   0.26000   0.26000 
  3.00300  -0.57000   0.26000   0.26000 
  3.00400  -0.53000   0.26000   0.26000 
  3.00500  -0.47000   0.26000   0.26000 
  3.00600  -0.41000   0.26000   0.26000 
  3.00700  -0.33000   0.26000   0.26000 
  3.00800  -0.27000   0.26000   0.26000 
  3.00900  -0.20000   0.26000   0.26000 
  3.01000  -0.14000   0.26000   0.26000 
  3.01100  -0.10000   0.26000   0.26000 
  3.01200  -0.07000   0.26000   0.26000 
  3.01300  -0.04000   0.25000   0.25000 
  3.01400  -0.03000   0.25000   0.25000 
  3.01500  -0.01000   0.25000   0.25000 
  3.01600   0.00000   0.25000   0.25000 
  3.01700   0.02000   0.25000   0.25000 
  3.01800   0.04000   0.25000   0.25000 
  3.01900   0.06000   0.25000   0.25000 
  3.02000   0.09000   0.25000   0.25000 
  3.02100   0.12000   0.25000   0.25000 
  3.02200   0.15000   0.25000   0.25000 
  3.02300   0.18000   0.25000   0.25000 
  3.02400   0.20000   0.25000   0.25000 
  3.02500   0.22000   0.25000   0.25000 
  3.02600   0.23000   0.25000   0.25000 
  3.02700   0.23000   0.25000   0.25000 
  3.02800   0.22000   0.25000   0.25000 
  3.02900   0.21000   0.25000   0.25000 
  3.03000   0.20000   0.25000   0.25000 
  3.03100   0.18000   0.25000   0.25000 
  3.03200   0.17000   0.25000   0.25000 
  3.03300   0.17000   0.24000   0.24000 
  3.03400   0.17000   0.24000   0.24000 
  3.03500   0.17000   0.24000   0.24000 
  3.03600   0.19000   0.24000   0.24000 
  3.03700   0.21000   0.24000   0.24000 
  3.03800   0.23000   0.24000   0.24000 
  3.03900   0.25000   0.24000   0.24000 
  3.04000   0.28000   0.24000   0.24000 
  3.04100   0.30000   0.24000   0.24000 
  3.04200   0.33000   0.24000   0.24000 
  3.04300   0.35000   0.24000   0.24000 
  3.04400   0.38000   0.24000   0.24000 
  3.04500   0.42000   0.24000   0.24000 
  3.04600   0.46000   0.24000   0.24000 
  3.04700   0.52000   0.24000   0.24000 
  3.04800   0.59000   0.24000   0.24000 
  3.04900   0.67000   0.24000   0.24000 
  3.05000   0.76000   0.24000   0.24000 
  3.05100   0.85000   0.24000   0.24000 
  3.05200   0.94000   0.24000   0.24000 
  3.05300   1.03000   0.23000   0.23000 
  3.05400   1.11000   0.23000   0.23000 
  3.05500   1.19000   0.23000   0.23000 
  3.05600   1.27000   0.23000   0.23000 
  3.05700   1.33000   0.23000   0.23000 
  3.05800   1.39000   0.23000   0.23000 
  3.05900   1.44000   0.23000   0.23000 
  3.06000   1.48000   0.23000   0.23000 
  3.06100   1.51000   0.23000   0.23000 
  3.06200   1.53000   0.23000   0.23000 
  3.06300   1.55000   0.23000   0.23000 
  3.06400   1.55000   0.23000   0.23000 
  3.06500   1.54000   0.23000   0.23000 
  3.06600   1.52000   0.23000   0.23000 
  3.06700   1.47000   0.23000   0.23000 
  3.06800   1.41000   0.23000   0.23000 
  3.06900   1.32000   0.23000   0.23000 
  3.07000   1.22000   0.23000   0.23000 
  3.07100   1.10000   0.23000   0.23000 
  3.07200   0.96000   0.22000   0.22000 
  3.07300   0.82000   0.22000   0.22000 
  3.07400   0.67000   0.22000   0.22000 
  3.07500   0.52000   0.22000   0.22000 
  3.07600   0.38000   0.22000   0.22000 
  3.07700   0.24000   0.22000   0.22000 
  3.07800   0.14000   0.22000   0.22000 
  3.07900   0.06000   0.22000   0.22000 
  3.08000   0.00000   0.22000   0.22000 
  3.08100  -0.01000   0.22000   0.22000 
  3.08200   0.00000   0.22000   0.22000 
  3.08300   0.04000   0.22000   0.22000 
  3.08400   0.10000   0.22000   0.22000 
  3.08500   0.16000   0.22000   0.22000 
  3.08600   0.22000   0.22000   0.22000 
  3.08700   0.27000   0.22000   0.22000 
  3.08800   0.32000   0.22000   0.22000 
  3.08900   0.35000   0.22000   0.22000 
  3.09000   0.38000   0.21000   0.21000 
  3.09100   0.41000   0.21000   0.21000 
  3.09200   0.43000   0.21000   0.21000 
  3.09300   0.45000   0.21000   0.21000 
  3.09400   0.48000   0.21000   0.21000 
  3.09500   0.50000   0.21000   0.21000 
  3.09600   0.53000   0.21000   0.21000 
  3.09700   0.57000   0.21000   0.21000 
  3.09800   0.60000   0.21000   0.21000 
  3.09900   0.65000   0.21000   0.21000 
  3.10000   0.70000   0.21000   0.21000 
  3.10100   0.76000   0.21000   0.21000 
  3.10200   0.82000   0.21000   0.21000 
  3.10300   0.89000   0.21000   0.21000 
  3.10400   0.96000   0.21000   0.21000 
  3.10500   1.02000   0.21000   0.21000 
  3.10600   1.08000   0.21000   0.21000 
  3.10700   1.12000   0.21000   0.21000 
  3.10800   1.16000   0.20000   0.20000 
  3.10900   1.19000   0.20000   0.20000 
  3.11000   1.20000   0.20000   0.20000 
  3.11100   1.20000   0.20000   0.20000 
  3.11200   1.19000   0.20000   0.20000 
  3.11300   1.16000   0.20000   0.20000 
  3.11400   1.12000   0.20000   0.20000 
  3.11500   1.07000   0.20000   0.20000 
  3.11600   0.99000   0.20000   0.20000 
  3.11700   0.90000   0.20000   0.20000 
  3.11800   0.80000   0.20000   0.20000 
  3.11900   0.69000   0.20000   0.20000 
  3.12000   0.58000   0.20000   0.20000 
  3.12100   0.48000   0.20000   0.20000 
  3.12200   0.38000   0.20000   0.20000 
  3.12300   0.30000   0.20000   0.20000 
  3.12400   0.22000   0.20000   0.20000 
  3.12500   0.16000   0.19000   0.19000 
  3.12600   0.09000   0.19000   0.19000 
  3.12700   0.02000   0.19000   0.19000 
  3.12800  -0.05000   0.19000   0.19000 
  3.12900  -0.12000   0.19000   0.19000 
  3.13000  -0.18000   0.19000   0.19000 
  3.13100  -0.24000   0.19000   0.19000 
  3.13200  -0.28000   0.19000   0.19000 
  3.13300  -0.30000   0.19000   0.19000 
  3.13400  -0.31000   0.19000   0.19000 
  3.13500  -0.29000   0.19000   0.19000 
  3.13600  -0.25000   0.19000   0.19000 
  3.13700  -0.19000   0.19000   0.19000 
  3.13800  -0.11000   0.19000   0.19000 
  3.13900  -0.03000   0.19000   0.19000 
  3.14000   0.06000   0.19000   0.19000 
  3.14100   0.13000   0.19000   0.19000 
  3.14200   0.20000   0.19000   0.19000 
  3.14300   0.26000   0.18000   0.18000 
  3.14400   0.30000   0.18000   0.18000 
  3.14500   0.33000   0.18000   0.18000 
  3.14600   0.35000   0.18000   0.18000 
  3.14700   0.36000   0.18000   0.18000 
  3.14800   0.38000   0.18000   0.18000 
  3.14900   0.39000   0.18000   0.18000 
  3.15000   0.41000   0.18000   0.18000 
  3.15100   0.42000   0.18000   0.18000 
  3.15200   0.43000   0.18000   0.18000 
  3.15300   0.44000   0.18000   0.18000 
  3.15400   0.44000   0.18000   0.18000 
  3.15500   0.43000   0.18000   0.18000 
  3.15600   0.41000   0.18000   0.18000 
  3.15700   0.39000   0.18000   0.18000 
  3.15800   0.38000   0.18000   0.18000 
  3.15900   0.37000   0.18000   0.18000 
  3.16000   0.37000   0.18000   0.18000 
  3.16100   0.38000   0.18000   0.18000 
  3.16200   0.41000   0.17000   0.17000 
  3.16300   0.46000   0.17000   0.17000 
  3.16400   0.52000   0.17000   0.17000 
  3.16500   0.60000   0.17000   0.17000 
  3.16600   0.67000   0.17000   0.17000 
  3.16700   0.74000   0.17000   0.17000 
  3.16800   0.81000   0.17000   0.17000 
  3.16900   0.86000   0.17000   0.17000 
  3.17000   0.91000   0.17000   0.17000 
  3.17100   0.95000   0.17000   0.17000 
  3.17200   0.98000   0.17000   0.17000 
  3.17300   1.00000   0.17000   0.17000 
  3.17400   1.01000   0.17000   0.17000 
  3.17500   1.02000   0.17000   0.17000 
  3.17600   1.02000   0.17000   0.17000 
  3.17700   1.02000   0.17000   0.17000 
  3.17800   1.02000   0.17000   0.17000 
  3.17900   1.01000   0.17000   0.17000 
  3.18000   1.00000   0.17000   0.17000 
  3.18100   0.99000   0.16000   0.16000 
  3.18200   0.98000   0.16000   0.16000 
  3.18300   0.97000   0.16000   0.16000 
  3.18400   0.95000   0.16000   0.16000 
  3.18500   0.94000   0.16000   0.16000 
  3.18600   0.92000   0.16000   0.16000 
  3.18700   0.90000   0.16000   0.16000 
  3.18800   0.87000   0.16000   0.16000 
  3.18900   0.85000   0.16000   0.16000 
  3.19000   0.81000   0.16000   0.16000 
  3.19100   0.78000   0.16000   0.16000 
  3.19200   0.74000   0.16000   0.16000 
  3.19300   0.70000   0.16000   0.16000 
  3.19400   0.65000   0.16000   0.16000 
  3.19500   0.61000   0.16000   0.16000 
  3.19600   0.56000   0.16000   0.16000 
  3.19700   0.51000   0.16000   0.16000 
  3.19800   0.47000   0.16000   0.16000 
  3.19900   0.44000   0.16000   0.16000 
  3.20000   0.42000   0.16000   0.16000 
  3.20100   0.42000   0.15000   0.15000 
  3.20200   0.44000   0.15000   0.15000 
  3.20300   0.48000   0.15000   0.15000 
  3.20400   0.53000   0.15000   0.15000 
  3.20500   0.58000   0.15000   0.15000 
  3.20600   0.63000   0.15000   0.15000 
  3.20700   0.67000   0.15000   0.15000 
  3.20800   0.69000   0.15000   0.15000 
  3.20900   0.68000   0.15000   0.15000 
  3.21000   0.67000   0.15000   0.15000 
  3.21100   0.63000   0.15000   0.15000 
  3.21200   0.59000   0.15000   0.15000 
  3.21300   0.54000   0.15000   0.15000 
  3.21400   0.49000   0.15000   0.15000 
  3.21500   0.43000   0.15000   0.15000 
  3.21600   0.38000   0.15000   0.15000 
  3.21700   0.33000   0.15000   0.15000 
  3.21800   0.29000   0.15000   0.15000 
  3.21900   0.26000   0.15000   0.15000 
  3.22000   0.23000   0.15000   0.15000 
  3.22100   0.20000   0.15000   0.15000 
  3.22200   0.18000   0.15000   0.15000 
  3.22300   0.16000   0.14000   0.14000 
  3.22400   0.15000   0.14000   0.14000 
  3.22500   0.14000   0.14000   0.14000 
  3.22600   0.14000   0.14000   0.14000 
  3.22700   0.15000   0.14000   0.14000 
  3.22800   0.16000   0.14000   0.14000 
  3.22900   0.19000   0.14000   0.14000 
  3.23000   0.21000   0.14000   0.14000 
  3.23100   0.24000   0.14000   0.14000 
  3.23200   0.27000   0.14000   0.14000 
  3.23300   0.29000   0.14000   0.14000 
  3.23400   0.30000   0.14000   0.14000 
  3.23500   0.31000   0.14000   0.14000 
  3.23600   0.31000   0.14000   0.14000 
  3.23700   0.30000   0.14000   0.14000 
  3.23800   0.28000   0.14000   0.14000 
  3.23900   0.25000   0.14000   0.14000 
  3.24000   0.22000   0.14000   0.14000 
  3.24100   0.20000   0.14000   0.14000 
  3.24200   0.18000   0.14000   0.14000 
  3.24300   0.18000   0.14000   0.14000 
  3.24400   0.19000   0.14000   0.14000 
  3.24500   0.21000   0.14000   0.14000 
  3.24600   0.24000   0.14000   0.14000 
  3.24700   0.27000   0.14000   0.14000 
  3.24800   0.30000   0.13000   0.13000 
  3.24900   0.34000   0.13000   0.13000 
  3.25000   0.37000   0.13000   0.13000 
  3.25100   0.39000   0.13000   0.13000 
  3.25200   0.41000   0.13000   0.13000 
  3.25300   0.42000   0.13000   0.13000 
  3.25400   0.43000   0.13000   0.13000 
  3.25500   0.43000   0.13000   0.13000 
  3.25600   0.43000   0.13000   0.13000 
  3.25700   0.42000   0.13000   0.13000 
  3.25800   0.42000   0.13000   0.13000 
  3.25900   0.40000   0.13000   0.13000 
  3.26000   0.39000   0.13000   0.13000 
  3.26100   0.38000   0.13000   0.13000 
  3.26200   0.37000   0.13000   0.13000 
  3.26300   0.37000   0.13000   0.13000 
  3.26400   0.36000   0.13000   0.13000 
  3.26500   0.36000   0.13000   0.13000 
  3.26600   0.36000   0.13000   0.13000 
  3.26700   0.37000   0.13000   0.13000 
  3.26800   0.37000   0.13000   0.13000 
  3.26900   0.38000   0.13000   0.13000 
  3.27000   0.38000   0.13000   0.13000 
  3.27100   0.39000   0.13000   0.13000 
  3.27200   0.39000   0.13000   0.13000 
  3.27300   0.39000   0.13000   0.13000 
  3.27400   0.40000   0.13000   0.13000 
  3.27500   0.40000   0.13000   0.13000 
  3.27600   0.41000   0.12000   0.12000 
  3.27700   0.41000   0.12000   0.12000 
  3.27800   0.41000   0.12000   0.12000 
  3.27900   0.42000   0.12000   0.12000 
  3.28000   0.42000   0.12000   0.12000 
  3.28100   0.41000   0.12000   0.12000 
  3.28200   0.41000   0.12000   0.12000 
  3.28300   0.40000   0.12000   0.12000 
  3.28400   0.39000   0.12000   0.12000 
  3.28500   0.38000   0.12000   0.12000 
  3.28600   0.37000   0.12000   0.12000 
  3.28700   0.36000   0.12000   0.12000 
  3.28800   0.34000   0.12000   0.12000 
  3.28900   0.33000   0.12000   0.12000 
  3.29000   0.32000   0.12000   0.12000 
  3.29100   0.32000   0.12000   0.12000 
  3.29200   0.31000   0.12000   0.12000 
  3.29300   0.31000   0.12000   0.12000 
  3.29400   0.32000   0.12000   0.12000 
  3.29500   0.32000   0.12000   0.12000 
  3.29600   0.33000   0.12000   0.12000 
  3.29700   0.35000   0.12000   0.12000 
  3.29800   0.37000   0.12000   0.12000 
  3.29900   0.39000   0.12000   0.12000 
  3.30000   0.41000   0.12000   0.12000 
  3.30100   0.44000   0.12000   0.12000 
  3.30200   0.46000   0.12000   0.12000 
  3.30300   0.49000   0.12000   0.12000 
  3.30400   0.51000   0.12000   0.12000 
  3.30500   0.53000   0.12000   0.12000 
  3.30600   0.55000   0.12000   0.12000 
  3.30700   0.57000   0.12000   0.12000 
  3.30800   0.58000   0.12000   0.12000 
  3.30900   0.59000   0.11000   0.11000 
  3.31000   0.59000   0.11000   0.11000 
  3.31100   0.59000   0.11000   0.11000 
  3.31200   0.58000   0.11000   0.11000 
  3.31300   0.57000   0.11000   0.11000 
  3.31400   0.56000   0.11000   0.11000 
  3.31500   0.54000   0.11000   0.11000 
  3.31600   0.53000   0.11000   0.11000 
  3.31700   0.52000   0.11000   0.11000 
  3.31800   0.52000   0.11000   0.11000 
  3.31900   0.52000   0.11000   0.11000 
  3.32000   0.53000   0.11000   0.11000 
  3.32100   0.54000   0.11000   0.11000 
  3.32200   0.56000   0.11000   0.11000 
  3.32300   0.58000   0.11000   0.11000 
  3.32400   0.60000   0.11000   0.11000 
  3.32500   0.62000   0.11000   0.11000 
  3.32600   0.64000   0.11000   0.11000 
  3.32700   0.66000   0.11000   0.11000 
  3.32800   0.67000   0.11000   0.11000 
  3.32900   0.69000   0.11000   0.11000 
  3.33000   0.71000   0.11000   0.11000 
  3.33100   0.72000   0.11000   0.11000 
  3.33200   0.73000   0.11000   0.11000 
  3.33300   0.73000   0.11000   0.11000 
  3.33400   0.73000   0.11000   0.11000 
  3.33500   0.72000   0.11000   0.11000 
  3.33600   0.71000   0.11000   0.11000 
  3.33700   0.69000   0.11000   0.11000 
  3.33800   0.67000   0.11000   0.11000 
  3.33900   0.65000   0.11000   0.11000 
  3.34000   0.64000   0.11000   0.11000 
  3.34100   0.63000   0.11000   0.11000 
  3.34200   0.64000   0.11000   0.11000 
  3.34300   0.65000   0.11000   0.11000 
  3.34400   0.67000   0.11000   0.11000 
  3.34500   0.69000   0.11000   0.11000 
  3.34600   0.70000   0.11000   0.11000 
  3.34700   0.71000   0.11000   0.11000 
  3.34800   0.71000   0.10000   0.10000 
  3.34900   0.71000   0.10000   0.10000 
  3.35000   0.69000   0.10000   0.10000 
  3.35100   0.67000   0.10000   0.10000 
  3.35200   0.64000   0.10000   0.10000 
  3.35300   0.61000   0.10000   0.10000 
  3.35400   0.57000   0.10000   0.10000 
  3.35500   0.53000   0.10000   0.10000 
