#  lambda(micron)  Flux(Jy)  F_Er(Jy)  F_Norm_Er(Jy)
  2.43150   0.34000   0.06000   0.06000 
  2.43200   0.35000   0.06000   0.06000 
  2.43250   0.36000   0.06000   0.06000 
  2.43300   0.37000   0.06000   0.06000 
  2.43350   0.38000   0.06000   0.06000 
  2.43400   0.39000   0.06000   0.06000 
  2.43450   0.39000   0.06000   0.06000 
  2.43500   0.40000   0.06000   0.06000 
  2.43550   0.40000   0.06000   0.06000 
  2.43600   0.40000   0.06000   0.06000 
  2.43650   0.40000   0.06000   0.06000 
  2.43700   0.40000   0.06000   0.06000 
  2.43750   0.40000   0.06000   0.06000 
  2.43800   0.40000   0.06000   0.06000 
  2.43850   0.40000   0.06000   0.06000 
  2.43900   0.40000   0.06000   0.06000 
  2.43950   0.40000   0.06000   0.06000 
  2.44000   0.40000   0.06000   0.06000 
  2.44050   0.40000   0.06000   0.06000 
  2.44100   0.40000   0.06000   0.06000 
  2.44150   0.39000   0.06000   0.06000 
  2.44200   0.38000   0.06000   0.06000 
  2.44250   0.36000   0.06000   0.06000 
  2.44300   0.35000   0.06000   0.06000 
  2.44350   0.35000   0.06000   0.06000 
  2.44400   0.34000   0.06000   0.06000 
  2.44450   0.34000   0.06000   0.06000 
  2.44500   0.35000   0.06000   0.06000 
  2.44550   0.35000   0.06000   0.06000 
  2.44600   0.36000   0.06000   0.06000 
  2.44650   0.37000   0.06000   0.06000 
  2.44700   0.38000   0.06000   0.06000 
  2.44750   0.39000   0.06000   0.06000 
  2.44800   0.39000   0.06000   0.06000 
  2.44850   0.39000   0.06000   0.06000 
  2.44900   0.39000   0.05000   0.05000 
  2.44950   0.39000   0.05000   0.05000 
  2.45000   0.39000   0.05000   0.05000 
  2.45050   0.38000   0.05000   0.05000 
  2.45100   0.38000   0.05000   0.05000 
  2.45150   0.38000   0.05000   0.05000 
  2.45200   0.38000   0.05000   0.05000 
  2.45250   0.37000   0.05000   0.05000 
  2.45300   0.37000   0.05000   0.05000 
  2.45350   0.37000   0.05000   0.05000 
  2.45400   0.37000   0.05000   0.05000 
  2.45450   0.37000   0.05000   0.05000 
  2.45500   0.37000   0.05000   0.05000 
  2.45550   0.37000   0.05000   0.05000 
  2.45600   0.36000   0.05000   0.05000 
  2.45650   0.36000   0.05000   0.05000 
  2.45700   0.35000   0.05000   0.05000 
  2.45750   0.34000   0.05000   0.05000 
  2.45800   0.33000   0.05000   0.05000 
  2.45850   0.32000   0.05000   0.05000 
  2.45900   0.31000   0.05000   0.05000 
  2.45950   0.29000   0.05000   0.05000 
  2.46000   0.28000   0.05000   0.05000 
  2.46050   0.27000   0.05000   0.05000 
  2.46100   0.26000   0.05000   0.05000 
  2.46150   0.26000   0.05000   0.05000 
  2.46200   0.25000   0.05000   0.05000 
  2.46250   0.25000   0.05000   0.05000 
  2.46300   0.25000   0.05000   0.05000 
  2.46350   0.25000   0.05000   0.05000 
  2.46400   0.25000   0.05000   0.05000 
  2.46450   0.26000   0.05000   0.05000 
  2.46500   0.26000   0.05000   0.05000 
  2.46550   0.26000   0.05000   0.05000 
  2.46600   0.26000   0.05000   0.05000 
  2.46650   0.26000   0.05000   0.05000 
  2.46700   0.27000   0.05000   0.05000 
  2.46750   0.26000   0.05000   0.05000 
  2.46800   0.26000   0.05000   0.05000 
  2.46850   0.26000   0.05000   0.05000 
  2.46900   0.25000   0.05000   0.05000 
  2.46950   0.25000   0.05000   0.05000 
  2.47000   0.24000   0.05000   0.05000 
  2.47050   0.24000   0.05000   0.05000 
  2.47100   0.24000   0.05000   0.05000 
  2.47150   0.24000   0.05000   0.05000 
  2.47200   0.25000   0.05000   0.05000 
  2.47250   0.26000   0.05000   0.05000 
  2.47300   0.27000   0.05000   0.05000 
  2.47350   0.29000   0.05000   0.05000 
  2.47400   0.31000   0.05000   0.05000 
  2.47450   0.32000   0.05000   0.05000 
  2.47500   0.34000   0.05000   0.05000 
  2.47550   0.36000   0.05000   0.05000 
  2.47600   0.38000   0.05000   0.05000 
  2.47650   0.40000   0.05000   0.05000 
  2.47700   0.41000   0.05000   0.05000 
  2.47750   0.42000   0.05000   0.05000 
  2.47800   0.43000   0.05000   0.05000 
  2.47850   0.43000   0.05000   0.05000 
  2.47900   0.43000   0.05000   0.05000 
  2.47950   0.42000   0.05000   0.05000 
  2.48000   0.41000   0.05000   0.05000 
  2.48050   0.40000   0.05000   0.05000 
  2.48100   0.39000   0.05000   0.05000 
  2.48150   0.38000   0.05000   0.05000 
  2.48200   0.37000   0.05000   0.05000 
  2.48250   0.36000   0.05000   0.05000 
  2.48300   0.35000   0.05000   0.05000 
  2.48350   0.35000   0.05000   0.05000 
  2.48400   0.34000   0.05000   0.05000 
  2.48450   0.34000   0.05000   0.05000 
  2.48500   0.33000   0.05000   0.05000 
  2.48550   0.33000   0.05000   0.05000 
  2.48600   0.33000   0.05000   0.05000 
  2.48650   0.32000   0.05000   0.05000 
  2.48700   0.32000   0.05000   0.05000 
  2.48750   0.32000   0.05000   0.05000 
  2.48800   0.31000   0.05000   0.05000 
  2.48850   0.31000   0.05000   0.05000 
  2.48900   0.30000   0.05000   0.05000 
  2.48950   0.30000   0.05000   0.05000 
  2.49000   0.30000   0.05000   0.05000 
  2.49050   0.29000   0.05000   0.05000 
  2.49100   0.29000   0.05000   0.05000 
  2.49150   0.29000   0.05000   0.05000 
  2.49200   0.29000   0.05000   0.05000 
  2.49250   0.29000   0.05000   0.05000 
  2.49300   0.29000   0.05000   0.05000 
  2.49350   0.30000   0.05000   0.05000 
  2.49400   0.30000   0.05000   0.05000 
  2.49450   0.30000   0.05000   0.05000 
  2.49500   0.31000   0.05000   0.05000 
  2.49550   0.31000   0.05000   0.05000 
  2.49600   0.31000   0.05000   0.05000 
  2.49650   0.32000   0.05000   0.05000 
  2.49700   0.32000   0.05000   0.05000 
  2.49750   0.32000   0.05000   0.05000 
  2.49800   0.32000   0.05000   0.05000 
  2.49850   0.32000   0.05000   0.05000 
  2.49900   0.31000   0.05000   0.05000 
  2.49950   0.31000   0.05000   0.05000 
  2.50000   0.30000   0.05000   0.05000 
  2.50050   0.30000   0.05000   0.05000 
  2.50100   0.29000   0.05000   0.05000 
  2.50150   0.29000   0.05000   0.05000 
  2.50200   0.29000   0.05000   0.05000 
  2.50250   0.29000   0.05000   0.05000 
  2.50300   0.29000   0.05000   0.05000 
  2.50350   0.29000   0.05000   0.05000 
  2.50400   0.29000   0.05000   0.05000 
  2.50450   0.30000   0.05000   0.05000 
  2.50500   0.30000   0.05000   0.05000 
  2.50550   0.31000   0.05000   0.05000 
  2.50600   0.32000   0.05000   0.05000 
  2.50650   0.33000   0.05000   0.05000 
  2.50700   0.34000   0.05000   0.05000 
  2.50750   0.35000   0.05000   0.05000 
  2.50800   0.35000   0.05000   0.05000 
  2.50850   0.36000   0.05000   0.05000 
  2.50900   0.37000   0.05000   0.05000 
  2.50950   0.38000   0.05000   0.05000 
  2.51000   0.38000   0.05000   0.05000 
  2.51050   0.39000   0.05000   0.05000 
  2.51100   0.40000   0.05000   0.05000 
  2.51150   0.41000   0.05000   0.05000 
  2.51200   0.42000   0.05000   0.05000 
  2.51250   0.43000   0.05000   0.05000 
  2.51300   0.44000   0.05000   0.05000 
  2.51350   0.45000   0.05000   0.05000 
  2.51400   0.45000   0.05000   0.05000 
  2.51450   0.46000   0.05000   0.05000 
  2.51500   0.46000   0.05000   0.05000 
  2.51550   0.46000   0.05000   0.05000 
  2.51600   0.45000   0.05000   0.05000 
  2.51650   0.45000   0.05000   0.05000 
  2.51700   0.45000   0.05000   0.05000 
  2.51750   0.44000   0.05000   0.05000 
  2.51800   0.44000   0.05000   0.05000 
  2.51850   0.44000   0.05000   0.05000 
  2.51900   0.43000   0.05000   0.05000 
  2.51950   0.43000   0.05000   0.05000 
  2.52000   0.43000   0.05000   0.05000 
  2.52050   0.42000   0.05000   0.05000 
  2.52100   0.42000   0.05000   0.05000 
  2.52150   0.41000   0.05000   0.05000 
  2.52200   0.41000   0.05000   0.05000 
  2.52250   0.40000   0.05000   0.05000 
  2.52300   0.40000   0.05000   0.05000 
  2.52350   0.40000   0.05000   0.05000 
  2.52400   0.40000   0.05000   0.05000 
  2.52450   0.41000   0.05000   0.05000 
  2.52500   0.41000   0.05000   0.05000 
  2.52550   0.42000   0.05000   0.05000 
  2.52600   0.43000   0.05000   0.05000 
  2.52650   0.43000   0.05000   0.05000 
  2.52700   0.43000   0.05000   0.05000 
  2.52750   0.43000   0.05000   0.05000 
  2.52800   0.42000   0.05000   0.05000 
  2.52850   0.41000   0.05000   0.05000 
  2.52900   0.39000   0.05000   0.05000 
  2.52950   0.38000   0.05000   0.05000 
  2.53000   0.36000   0.05000   0.05000 
  2.53050   0.35000   0.05000   0.05000 
  2.53100   0.33000   0.05000   0.05000 
  2.53150   0.31000   0.05000   0.05000 
  2.53200   0.29000   0.05000   0.05000 
  2.53250   0.28000   0.05000   0.05000 
  2.53300   0.27000   0.05000   0.05000 
  2.53350   0.26000   0.05000   0.05000 
  2.53400   0.25000   0.05000   0.05000 
  2.53450   0.24000   0.05000   0.05000 
  2.53500   0.24000   0.05000   0.05000 
  2.53550   0.24000   0.05000   0.05000 
  2.53600   0.24000   0.05000   0.05000 
  2.53650   0.23000   0.05000   0.05000 
  2.53700   0.23000   0.05000   0.05000 
  2.53750   0.22000   0.05000   0.05000 
  2.53800   0.22000   0.05000   0.05000 
  2.53850   0.21000   0.06000   0.06000 
  2.53900   0.21000   0.06000   0.06000 
  2.53950   0.20000   0.06000   0.06000 
  2.54000   0.20000   0.06000   0.06000 
  2.54050   0.20000   0.06000   0.06000 
  2.54100   0.20000   0.06000   0.06000 
  2.54150   0.20000   0.06000   0.06000 
  2.54200   0.20000   0.06000   0.06000 
  2.54250   0.20000   0.06000   0.06000 
  2.54300   0.21000   0.06000   0.06000 
  2.54350   0.21000   0.06000   0.06000 
  2.54400   0.21000   0.06000   0.06000 
  2.54450   0.21000   0.06000   0.06000 
  2.54500   0.22000   0.06000   0.06000 
  2.54550   0.23000   0.06000   0.06000 
  2.54600   0.25000   0.06000   0.06000 
  2.54650   0.26000   0.06000   0.06000 
  2.54700   0.28000   0.06000   0.06000 
  2.54750   0.30000   0.06000   0.06000 
  2.54800   0.32000   0.06000   0.06000 
  2.54850   0.34000   0.06000   0.06000 
  2.54900   0.36000   0.06000   0.06000 
  2.54950   0.37000   0.06000   0.06000 
  2.55000   0.38000   0.06000   0.06000 
  2.55050   0.39000   0.06000   0.06000 
  2.55100   0.40000   0.06000   0.06000 
  2.55150   0.40000   0.06000   0.06000 
  2.55200   0.39000   0.06000   0.06000 
  2.55250   0.39000   0.06000   0.06000 
  2.55300   0.38000   0.06000   0.06000 
  2.55350   0.37000   0.06000   0.06000 
  2.55400   0.36000   0.06000   0.06000 
  2.55450   0.35000   0.06000   0.06000 
  2.55500   0.34000   0.06000   0.06000 
  2.55550   0.33000   0.06000   0.06000 
  2.55600   0.32000   0.06000   0.06000 
  2.55650   0.31000   0.06000   0.06000 
  2.55700   0.30000   0.06000   0.06000 
  2.55750   0.30000   0.06000   0.06000 
  2.55800   0.29000   0.06000   0.06000 
  2.55850   0.28000   0.06000   0.06000 
  2.55900   0.28000   0.06000   0.06000 
  2.55950   0.28000   0.06000   0.06000 
  2.56000   0.28000   0.06000   0.06000 
  2.56050   0.29000   0.06000   0.06000 
  2.56100   0.30000   0.06000   0.06000 
  2.56150   0.31000   0.06000   0.06000 
  2.56200   0.32000   0.06000   0.06000 
  2.56250   0.33000   0.06000   0.06000 
  2.56300   0.34000   0.06000   0.06000 
  2.56350   0.34000   0.06000   0.06000 
  2.56400   0.34000   0.06000   0.06000 
  2.56450   0.33000   0.06000   0.06000 
  2.56500   0.33000   0.06000   0.06000 
  2.56550   0.32000   0.06000   0.06000 
  2.56600   0.31000   0.06000   0.06000 
  2.56650   0.30000   0.06000   0.06000 
  2.56700   0.29000   0.06000   0.06000 
  2.56750   0.29000   0.06000   0.06000 
  2.56800   0.29000   0.06000   0.06000 
  2.56850   0.29000   0.06000   0.06000 
  2.56900   0.29000   0.06000   0.06000 
  2.56950   0.30000   0.06000   0.06000 
  2.57000   0.30000   0.06000   0.06000 
  2.57050   0.31000   0.06000   0.06000 
  2.57100   0.31000   0.06000   0.06000 
  2.57150   0.31000   0.06000   0.06000 
  2.57200   0.31000   0.06000   0.06000 
  2.57250   0.31000   0.06000   0.06000 
  2.57300   0.30000   0.06000   0.06000 
  2.57350   0.29000   0.06000   0.06000 
  2.57400   0.29000   0.06000   0.06000 
  2.57450   0.29000   0.06000   0.06000 
  2.57500   0.29000   0.06000   0.06000 
  2.57550   0.30000   0.06000   0.06000 
  2.57600   0.31000   0.06000   0.06000 
  2.57650   0.32000   0.06000   0.06000 
  2.57700   0.34000   0.06000   0.06000 
  2.57750   0.36000   0.06000   0.06000 
  2.57800   0.37000   0.06000   0.06000 
  2.57850   0.39000   0.06000   0.06000 
  2.57900   0.41000   0.06000   0.06000 
  2.57950   0.43000   0.06000   0.06000 
  2.58000   0.44000   0.06000   0.06000 
  2.58050   0.45000   0.07000   0.07000 
  2.58100   0.46000   0.07000   0.07000 
  2.58150   0.46000   0.07000   0.07000 
  2.58200   0.46000   0.07000   0.07000 
  2.58250   0.45000   0.07000   0.07000 
  2.58300   0.44000   0.07000   0.07000 
  2.58350   0.44000   0.07000   0.07000 
  2.58400   0.43000   0.07000   0.07000 
  2.58450   0.42000   0.07000   0.07000 
  2.58500   0.42000   0.07000   0.07000 
  2.58550   0.41000   0.07000   0.07000 
  2.58600   0.41000   0.07000   0.07000 
  2.58650   0.41000   0.07000   0.07000 
  2.58700   0.42000   0.07000   0.07000 
  2.58750   0.43000   0.07000   0.07000 
  2.58800   0.43000   0.07000   0.07000 
  2.58850   0.45000   0.07000   0.07000 
  2.58900   0.46000   0.07000   0.07000 
  2.58950   0.47000   0.07000   0.07000 
  2.59000   0.48000   0.07000   0.07000 
  2.59050   0.49000   0.07000   0.07000 
  2.59100   0.50000   0.07000   0.07000 
  2.59150   0.51000   0.07000   0.07000 
  2.59200   0.51000   0.07000   0.07000 
  2.59250   0.51000   0.07000   0.07000 
  2.59300   0.51000   0.07000   0.07000 
  2.59350   0.50000   0.07000   0.07000 
  2.59400   0.50000   0.07000   0.07000 
  2.59450   0.49000   0.07000   0.07000 
  2.59500   0.49000   0.07000   0.07000 
  2.59550   0.49000   0.07000   0.07000 
  2.59600   0.50000   0.07000   0.07000 
  2.59650   0.50000   0.07000   0.07000 
  2.59700   0.50000   0.07000   0.07000 
  2.59750   0.51000   0.07000   0.07000 
  2.59800   0.51000   0.07000   0.07000 
  2.59850   0.52000   0.07000   0.07000 
  2.59900   0.52000   0.07000   0.07000 
  2.59950   0.52000   0.07000   0.07000 
  2.60000   0.53000   0.07000   0.07000 
  2.60050   0.53000   0.07000   0.07000 
  2.60100   0.54000   0.07000   0.07000 
  2.60150   0.55000   0.07000   0.07000 
  2.60200   0.56000   0.07000   0.07000 
  2.60250   0.58000   0.07000   0.07000 
  2.60300   0.59000   0.07000   0.07000 
  2.60350   0.61000   0.07000   0.07000 
  2.60400   0.62000   0.07000   0.07000 
  2.60450   0.64000   0.07000   0.07000 
  2.60500   0.65000   0.07000   0.07000 
  2.60550   0.67000   0.07000   0.07000 
  2.60600   0.68000   0.07000   0.07000 
  2.60650   0.70000   0.07000   0.07000 
  2.60700   0.72000   0.07000   0.07000 
  2.60750   0.73000   0.07000   0.07000 
  2.60800   0.75000   0.07000   0.07000 
  2.60850   0.76000   0.07000   0.07000 
  2.60900   0.78000   0.07000   0.07000 
  2.60950   0.79000   0.07000   0.07000 
  2.61000   0.79000   0.07000   0.07000 
  2.61050   0.79000   0.07000   0.07000 
  2.61100   0.78000   0.07000   0.07000 
  2.61150   0.76000   0.07000   0.07000 
  2.61200   0.74000   0.07000   0.07000 
  2.61250   0.71000   0.07000   0.07000 
  2.61300   0.68000   0.07000   0.07000 
  2.61350   0.65000   0.07000   0.07000 
  2.61400   0.61000   0.07000   0.07000 
  2.61450   0.58000   0.07000   0.07000 
  2.61500   0.55000   0.07000   0.07000 
  2.61550   0.53000   0.07000   0.07000 
  2.61600   0.50000   0.07000   0.07000 
  2.61650   0.48000   0.07000   0.07000 
  2.61700   0.47000   0.07000   0.07000 
  2.61750   0.45000   0.07000   0.07000 
  2.61800   0.44000   0.07000   0.07000 
  2.61850   0.43000   0.07000   0.07000 
  2.61900   0.43000   0.07000   0.07000 
  2.61950   0.42000   0.07000   0.07000 
  2.62000   0.42000   0.07000   0.07000 
  2.62050   0.42000   0.07000   0.07000 
  2.62100   0.42000   0.07000   0.07000 
  2.62150   0.42000   0.07000   0.07000 
  2.62200   0.43000   0.07000   0.07000 
  2.62250   0.43000   0.07000   0.07000 
  2.62300   0.44000   0.07000   0.07000 
  2.62350   0.45000   0.07000   0.07000 
  2.62400   0.46000   0.07000   0.07000 
  2.62450   0.47000   0.07000   0.07000 
  2.62500   0.48000   0.07000   0.07000 
  2.62550   0.48000   0.07000   0.07000 
  2.62600   0.48000   0.07000   0.07000 
  2.62650   0.48000   0.07000   0.07000 
  2.62700   0.47000   0.07000   0.07000 
  2.62750   0.46000   0.07000   0.07000 
  2.62800   0.45000   0.07000   0.07000 
  2.62850   0.43000   0.07000   0.07000 
  2.62900   0.41000   0.07000   0.07000 
  2.62950   0.39000   0.07000   0.07000 
  2.63000   0.37000   0.07000   0.07000 
  2.63050   0.35000   0.07000   0.07000 
  2.63100   0.34000   0.07000   0.07000 
  2.63150   0.32000   0.07000   0.07000 
  2.63200   0.31000   0.07000   0.07000 
  2.63250   0.30000   0.07000   0.07000 
  2.55533   0.32000   0.11000   0.11000 
  2.55600   0.30000   0.11000   0.11000 
  2.55667   0.28000   0.11000   0.11000 
  2.55733   0.26000   0.11000   0.11000 
  2.55800   0.25000   0.11000   0.11000 
  2.55867   0.23000   0.11000   0.11000 
  2.55933   0.22000   0.11000   0.11000 
  2.56000   0.21000   0.11000   0.11000 
  2.56067   0.19000   0.11000   0.11000 
  2.56133   0.16000   0.11000   0.11000 
  2.56200   0.14000   0.11000   0.11000 
  2.56267   0.11000   0.11000   0.11000 
  2.56333   0.09000   0.11000   0.11000 
  2.56400   0.07000   0.11000   0.11000 
  2.56467   0.05000   0.11000   0.11000 
  2.56533   0.03000   0.11000   0.11000 
  2.56600   0.02000   0.11000   0.11000 
  2.56667   0.02000   0.11000   0.11000 
  2.56733   0.01000   0.11000   0.11000 
  2.56800   0.01000   0.11000   0.11000 
  2.56867   0.00000   0.11000   0.11000 
  2.56933   0.00000   0.11000   0.11000 
  2.57000  -0.01000   0.10000   0.10000 
  2.57067  -0.01000   0.10000   0.10000 
  2.57133  -0.01000   0.10000   0.10000 
  2.57200  -0.01000   0.10000   0.10000 
  2.57267  -0.01000   0.10000   0.10000 
  2.57333   0.00000   0.10000   0.10000 
  2.57400   0.02000   0.10000   0.10000 
  2.57467   0.05000   0.10000   0.10000 
  2.57533   0.08000   0.10000   0.10000 
  2.57600   0.11000   0.10000   0.10000 
  2.57667   0.14000   0.10000   0.10000 
  2.57733   0.17000   0.10000   0.10000 
  2.57800   0.19000   0.10000   0.10000 
  2.57867   0.21000   0.10000   0.10000 
  2.57933   0.22000   0.10000   0.10000 
  2.58000   0.24000   0.10000   0.10000 
  2.58067   0.25000   0.10000   0.10000 
  2.58133   0.26000   0.10000   0.10000 
  2.58200   0.27000   0.10000   0.10000 
  2.58267   0.28000   0.10000   0.10000 
  2.58333   0.29000   0.10000   0.10000 
  2.58400   0.30000   0.10000   0.10000 
  2.58467   0.32000   0.10000   0.10000 
  2.58533   0.33000   0.10000   0.10000 
  2.58600   0.34000   0.10000   0.10000 
  2.58667   0.35000   0.10000   0.10000 
  2.58733   0.36000   0.10000   0.10000 
  2.58800   0.37000   0.10000   0.10000 
  2.58867   0.38000   0.10000   0.10000 
  2.58933   0.39000   0.10000   0.10000 
  2.59000   0.40000   0.10000   0.10000 
  2.59067   0.40000   0.10000   0.10000 
  2.59133   0.40000   0.09000   0.09000 
  2.59200   0.41000   0.09000   0.09000 
  2.59267   0.41000   0.09000   0.09000 
  2.59333   0.41000   0.09000   0.09000 
  2.59400   0.40000   0.09000   0.09000 
  2.59467   0.40000   0.09000   0.09000 
  2.59533   0.40000   0.09000   0.09000 
  2.59600   0.39000   0.09000   0.09000 
  2.59667   0.39000   0.09000   0.09000 
  2.59733   0.39000   0.09000   0.09000 
  2.59800   0.40000   0.09000   0.09000 
  2.59867   0.41000   0.09000   0.09000 
  2.59933   0.42000   0.09000   0.09000 
  2.60000   0.42000   0.09000   0.09000 
  2.60067   0.43000   0.09000   0.09000 
  2.60133   0.42000   0.09000   0.09000 
  2.60200   0.41000   0.09000   0.09000 
  2.60267   0.39000   0.09000   0.09000 
  2.60333   0.37000   0.09000   0.09000 
  2.60400   0.34000   0.09000   0.09000 
  2.60467   0.32000   0.09000   0.09000 
  2.60533   0.30000   0.09000   0.09000 
  2.60600   0.28000   0.09000   0.09000 
  2.60667   0.27000   0.09000   0.09000 
  2.60733   0.26000   0.09000   0.09000 
  2.60800   0.25000   0.09000   0.09000 
  2.60867   0.25000   0.09000   0.09000 
  2.60933   0.25000   0.09000   0.09000 
  2.61000   0.25000   0.09000   0.09000 
  2.61067   0.26000   0.09000   0.09000 
  2.61133   0.27000   0.09000   0.09000 
  2.61200   0.28000   0.08000   0.08000 
