fuente,M_gas_actual,tau_actual,A_N12_cm2,A_tau12,A_ratio_N12_N13,X_Ramstedt,A_M_gas,B_N12_cm2,B_Tkin_K,B_tau12,B_chi2,B_M_gas,B3_N12_cm2,B3_Tkin_K,B3_chi2,B3_M_gas,C_n_H2_cm3,C_chi2
IRAS_06531,0.00078896,0.0,3.5555210659375468e+16,0.0975147421877725,77.24980832067035,34.0,0.0008343578214657,9.426684551178854e+16,338.59258987785967,0.0009777308867077,17.272245661236404,0.0022121168289837,2.424462017082321e+16,31.338073079968314,20.308846268357694,0.0005689373819715,1610262027.560939,20.8075961030398
IRAS_07145,0.0056395,0.52,1.543825460496476e+16,0.0384491311272302,23.763240496257445,34.0,0.0045359478550015,8.886238162743408e+16,5.000000000000001,0.6462254982467653,0.0074722701963485,0.0261088536008249,2.424462017082321e+16,63.48192545749499,4.148410375153816,0.0071233656700937,1723.6663448613683,1.4327107833165216
IRAS_07180,0.00030124,2.718,4511079993751404.0,0.0249065951400416,4.332514716976658,13.0,0.0001052913025628,3.8881551803080696e+16,4.520361584684587,0.6177623905564112,10.809107115902933,0.0009075186520042,8376776400682925.0,260.49878039753486,59.22193215074213,0.0001955189665728,1000.0,15.818020862662047
IRAS_08500,0.040976,3.177,6.590920060832729e+16,0.370346666115365,4.426903991571763,13.0,0.0149528847509072,2.8942661247167635e+17,9.156952835855764,3.7358438830989527,0.0047567896647514,0.0656624984097845,2.285463864134984e+17,300.00000000000034,22.0490292797521,0.0518505420295686,621.0169418915616,8.173647148357592
V510_Pup,0.00087742,1.0,6.714817490988129e+16,0.0265048357497311,10.645090288179098,12.13,0.000564691722666,1.0608183551394483e+17,8.794927135844057,0.1005187112823924,0.0868865176086041,0.0008921096443848,1e+17,345.491060889634,71.10799011047243,0.000840963620268,1312.8847416515157,0.0034226066917123
RV_Aqr,0.025523,0.0,1.7255948148679536e+17,0.3349629666456671,27.266070489498308,13.0,0.0301595995977439,4.375479375074198e+17,148.09604239690748,0.0169108422753497,11.968885266461903,0.0764737497258433,,,,,28072.162039411756,15.836838868848794
RZ_Sgr,0.008455,6.252,7.389939235804883e+16,0.2859510074646316,4.453893558390711,26.0,0.0015545932063231,3.665241237079641e+17,7.484405679222484,7.384686609988752,0.0182874228283796,0.0077104275757674,,,,,621.0169418915616,22.923964796812555
UU_For,0.0077097,0.0,5.3667690886197816e+16,0.1047248937705223,16.77582503677785,13.0,0.008043255283459,2.8942661247167635e+17,265.8061714595282,0.002545873741119,1.3667935838822465,0.0433767894890957,,,,,28072.162039411756,2.133588136195882
R_Hor,0.0012046,0.0,7.131215753260688e+16,0.2536481300647035,37.82260409197547,13.0,0.0013637028604364,1.3433993325988989e+17,145.1389868574591,0.0099885415953211,27.753546935337305,0.0025689834327841,,,,,1610262027.560939,30.20673698085708
