Source,transition,D_pc,sigma_D_pc,f_CO,R_12CO_13CO,X_iso_Ramstedt,tau,T_ex_K,I_CO_Jy_km_s,M_H2_Msun,M_gas_Msun,sigma_Mgas_Msun,sigma_Mgas_pct
IRAS 06531,2-1,1158.35,131.09,1.0e-03,84.68,34,0.000,20,87.7380,4.3976e-04,5.9807e-04,1.4799e-04,24.7
IRAS 07145,2-1,4144.8,1211.4,1.0e-03,26.71,34,0.520,20,38.1879,3.1434e-03,4.2750e-03,2.5352e-03,59.3
IRAS 07180,2-1,1168.22,260.8,1.0e-03,4.95,13,2.718,20,11.3168,1.6791e-04,2.2836e-04,1.0448e-04,45.8
IRAS 08500,2-1,1526.72,173.5,2.0e-04,4.42,13,3.177,20,158.2523,2.2840e-02,3.1062e-02,7.7130e-03,24.8
R Hor,1-0,231.29,8.2,2.0e-04,39.12,13,0.000,20,70.4809,7.3652e-04,1.0017e-03,1.2279e-04,12.3
RV Aqr,1-0,635.24,24.0,2.0e-04,27.1,13,0.000,20,197.9703,1.5605e-02,2.1223e-02,2.6601e-03,12.5
RZ Sgr,1-0,423.8,9.9,6.0e-04,4.67,26,6.252,20,70.5720,5.1696e-03,7.0306e-03,7.7601e-04,11.0
UU For,1-0,614.76,49.4,2.0e-04,18.82,13,0.000,20,63.8513,4.7139e-03,6.4109e-03,1.2135e-03,18.9
V510 Pup,2-1,436.26,69.1,4.0e-04,12.13,None,1.000,20,173.9363,4.8906e-04,6.6513e-04,2.2095e-04,33.2
